Pressure (psi),Bg,Rs,Bo,Uo/Ug,Cumulative Oil Production (MMSTB),Cumulative Gas Production (MMscf),Producing GOR (scf/STB)
2100.0,0.001283,1340.0,1.48,34.1,0.0,0.0,1340.0
1800.0,0.001518,1280.0,1.468,38.3,3.76,6206.755,1961.215457149599
1500.0,0.001853,1150.0,1.44,42.4,8.651,19486.979,3469.505225524163
1200.0,0.002365,985.0,1.399,48.8,12.0,35691.432,6208.6938886475655
1000.0,0.002885,860.0,1.36,53.6,13.599,47614.591,8706.148698329285
700.0,0.00425,662.0,1.287,62.5,15.361,66597.016,12829.51979880514
400.0,0.00768,465.0,1.202,79.0,16.718,86147.734,16003.149738535583
